gX,gZ,gY,aX,aZ,aY,p1,p2,p3
281.36,-103.49,278.80,0.76,1.10,1.71,611,2256,720
241.68,-108.28,278.78,0.26,0.79,1.68,609,2269,742
214.01,-109.58,262.43,-0.18,0.55,1.33,609,2275,754
153.77,-117.46,176.11,-0.36,0.51,0.77,606,2291,811
145.69,-119.08,159.44,-0.49,0.36,0.62,605,2298,817
145.83,-118.63,150.08,-0.26,0.49,0.43,607,2299,816
143.45,-115.35,152.42,-0.12,0.49,0.52,605,2303,820
139.36,-110.37,148.84,-0.17,0.34,0.50,609,2301,819
136.12,-103.12,144.90,-0.07,0.26,0.41,605,2306,818
123.98,-57.63,113.26,-0.06,0.05,0.34,606,2320,817
124.00,-47.00,103.96,-0.17,0.02,0.28,605,2323,823
126.15,-38.31,97.67,-0.05,0.11,0.14,604,2323,821
119.42,-29.90,94.03,-0.14,-0.08,0.46,608,2336,829
117.78,-22.77,85.44,-0.20,-0.04,0.33,608,2339,843
119.07,-15.00,79.00,-0.17,0.00,0.42,608,2335,833
91.14,3.44,57.26,-0.08,0.03,0.69,605,2336,842
83.80,4.60,54.71,-0.05,0.05,0.71,603,2339,844
-86.95,58.53,24.06,0.16,0.95,0.38,626,2339,1141
-95.77,58.36,31.16,0.19,1.01,0.33,626,2339,1138
-104.35,56.63,35.79,0.17,0.94,0.38,625,2342,1154
-112.87,52.83,41.74,0.18,0.94,0.37,625,2341,1143
-121.68,48.97,45.59,0.14,0.92,0.37,625,2338,1140
-130.86,43.96,51.62,0.16,0.90,0.37,624,2337,1140
-136.84,39.47,58.94,0.16,0.96,0.26,625,2341,1140
-167.85,10.04,70.83,0.10,0.83,0.32,626,2367,1145
-174.80,5.67,67.44,-0.04,0.77,0.15,624,2342,1143
-180.57,5.41,74.65,0.19,0.83,0.10,624,2341,1141
-185.32,6.15,82.98,0.09,0.74,0.06,624,2341,1149
-186.20,6.54,77.29,-0.15,0.72,0.02,623,2340,1139
-186.67,3.67,67.84,-0.21,0.70,0.05,625,2341,1142
-181.35,6.99,48.39,-0.14,0.82,-0.19,623,2339,1141
-174.11,15.99,56.95,-0.01,1.00,-0.32,623,2341,1139
-159.35,22.45,79.65,0.21,1.03,-0.25,623,2343,1142
-153.88,31.61,92.71,-0.04,0.97,-0.28,621,2335,1143
-144.52,33.99,77.62,-0.48,0.78,-0.22,621,2341,1142
-140.70,32.94,69.64,-0.37,0.88,-0.10,621,2341,1142
-113.09,31.21,44.75,0.03,1.14,-0.39,615,2335,1145
-124.55,32.94,54.90,-0.13,0.86,-0.08,611,2331,1141
-124.00,31.23,69.42,0.16,0.91,-0.08,615,2325,1143
-117.61,27.11,83.33,-0.14,1.06,-0.38,613,2321,1141
-111.68,25.89,81.64,-0.28,0.96,-0.15,615,2320,1143
-112.75,20.85,79.65,-0.33,1.00,-0.13,615,2313,1143
-118.43,3.31,2.61,0.01,0.96,0.19,617,2287,1122
-111.82,3.70,13.91,-0.15,0.89,-0.19,617,2277,1106
-101.09,4.66,-7.84,-0.62,0.93,-0.39,615,2268,1093
-100.46,2.68,-16.38,-0.35,0.89,-0.30,617,2256,1072
-98.81,-0.45,-23.49,-0.27,0.94,-0.34,618,2243,1054
-94.78,2.07,-23.06,-0.27,1.02,-0.22,618,2234,1037
-75.99,3.17,-43.71,-0.23,0.77,-0.33,614,2166,954
-68.26,4.01,-44.58,-0.07,0.98,-0.39,613,2156,942
-70.16,2.66,-52.04,-0.30,0.89,-0.25,614,2138,921
-68.99,3.23,-66.65,-0.34,0.82,-0.40,615,2124,905
-66.37,4.33,-71.63,-0.15,0.99,-0.33,614,2110,884
-65.64,4.95,-65.97,0.01,1.01,-0.26,615,2095,869
-65.80,6.25,-59.46,-0.06,0.95,-0.27,615,2081,855
-65.77,17.99,-16.96,0.11,1.15,-0.16,615,2013,798
-66.05,20.02,-22.84,-0.10,1.07,-0.22,614,2000,785
-61.12,21.08,-35.20,-0.30,0.91,-0.29,615,1982,784
-56.86,22.77,-35.05,-0.00,1.06,-0.45,617,1969,781
-58.28,22.42,-34.27,-0.06,0.90,-0.24,612,1955,762
-57.42,19.58,-36.04,0.00,0.92,-0.22,615,1945,743
-48.41,6.50,-38.38,0.13,0.99,-0.27,613,1889,695
-44.89,3.50,-35.98,-0.04,0.97,-0.30,619,1875,681
-41.97,0.56,-37.43,-0.07,1.04,-0.28,611,1868,663
-43.41,-5.67,-41.35,-0.17,1.03,-0.16,635,1857,655
-44.26,-11.95,-55.13,-0.20,0.99,-0.16,613,1855,645
-48.02,-15.20,-56.36,-0.01,1.03,-0.26,611,1840,631
-67.59,-29.50,-40.56,0.01,1.01,-0.07,614,1809,578
-71.27,-35.82,-40.13,0.04,1.04,-0.14,614,1808,575
