gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-119.80,-39.38,-103.54,-0.28,0.52,0.92,581,1692,1241
-129.07,-48.66,-113.02,-0.44,0.47,1.19,582,1696,1233
-141.18,-54.21,-129.37,-0.48,0.49,0.94,583,1693,1230
-159.82,-59.54,-139.17,-0.34,0.48,1.07,579,1694,1226
-213.57,-71.97,-89.28,-0.16,0.57,1.05,580,1702,1215
-227.24,-77.41,-98.10,-0.17,0.72,0.93,583,1703,1215
-245.50,-83.02,-111.86,-0.17,0.46,0.97,582,1712,1214
-255.34,-85.86,-95.31,0.29,0.69,0.72,577,1730,1212
-266.75,-87.19,-96.12,-0.04,0.66,0.84,581,1743,1213
-295.74,-90.66,-227.34,-0.19,0.49,0.25,575,1770,1215
-304.27,-97.39,-192.79,0.77,0.66,0.64,571,1773,1215
-308.18,-102.47,-172.87,0.34,0.57,0.56,574,1776,1215
-297.19,-102.14,-130.65,0.65,0.89,0.11,571,1785,1224
-285.60,-101.45,-103.02,0.64,0.70,-0.15,572,1783,1217
-328.49,-87.19,-81.23,0.28,0.34,0.75,571,1787,1241
-333.62,-93.22,-85.08,0.19,0.71,0.32,567,1787,1255
-333.31,-102.12,-100.46,-0.01,0.84,0.32,563,1787,1264
-339.83,-89.83,-91.05,0.43,0.97,0.28,564,1786,1280
-350.09,-90.57,-74.76,0.68,0.96,0.45,563,1791,1298
-362.06,-89.41,-43.36,0.79,0.74,0.42,560,1786,1316
-360.01,-106.47,-66.75,-0.20,0.91,-0.15,548,1786,1413
-354.72,-111.31,-82.27,-0.13,0.75,-0.19,543,1787,1439
-350.64,-115.51,-87.43,0.14,0.88,-0.05,543,1787,1460
-344.63,-120.98,-91.28,-0.02,0.82,-0.37,536,1785,1487
-333.05,-124.21,-96.71,0.01,0.92,-0.59,531,1787,1511
-276.58,-159.91,-74.07,-0.01,1.12,-0.77,527,1787,1612
-261.60,-170.84,-79.31,0.06,1.18,-0.75,523,1786,1629
-241.10,-183.48,-86.07,0.05,1.25,-0.92,520,1792,1646
-220.23,-195.18,-100.26,-0.08,1.30,-0.93,511,1786,1662
-203.16,-205.59,-119.39,-0.21,1.26,-0.89,519,1785,1669
-123.43,-235.36,-141.25,-0.20,1.36,-0.62,511,1787,1701
-108.01,-239.16,-143.80,-0.19,1.35,-0.55,511,1787,1706
-100.17,-241.86,-139.00,-0.05,1.42,-0.46,519,1786,1712
-96.20,-249.15,-147.00,-0.20,1.18,-0.47,507,1787,1722
-63.08,-243.04,-218.78,-0.52,1.23,0.00,506,1786,1719
18.44,-234.84,-207.63,0.13,1.42,-0.77,503,1785,1723
34.58,-231.73,-211.92,0.20,1.46,-0.73,505,1787,1727
52.57,-236.15,-224.26,0.16,1.52,-0.61,505,1783,1722
59.15,-243.44,-266.00,-0.38,1.01,-0.35,508,1786,1722
71.47,-247.21,-279.94,0.45,1.07,-0.48,504,1792,1723
90.40,-245.36,-239.60,0.96,1.39,-0.77,505,1785,1721
192.86,-252.11,-173.86,0.33,1.20,-0.66,503,1789,1723
162.14,-249.28,-191.54,0.21,1.91,0.68,502,1809,1724
181.48,-251.83,-187.17,0.47,1.25,-0.40,503,1787,1724
199.27,-249.13,-161.57,0.86,1.53,-0.57,498,1787,1719
210.11,-242.15,-129.10,0.88,1.45,-0.47,499,1787,1723
236.34,-218.37,-86.41,0.86,1.43,-0.20,499,1791,1722
235.30,-214.60,-68.03,0.82,1.39,-0.08,496,1797,1722
235.34,-211.27,-65.25,0.68,1.32,-0.08,499,1799,1722
237.13,-205.68,-38.23,0.99,1.35,-0.19,501,1807,1723
237.92,-200.14,-9.66,0.90,1.33,-0.19,497,1808,1723
236.79,-195.86,3.21,0.69,1.27,-0.14,499,1808,1722
246.79,-160.86,52.86,0.47,1.31,-0.34,498,1839,1727
240.98,-153.15,83.38,1.05,1.44,-0.07,497,1851,1726
235.53,-147.79,103.18,0.24,1.13,-0.47,498,1855,1731
236.50,-145.19,102.26,0.05,1.15,-0.21,497,1857,1739
232.86,-139.16,114.08,0.17,1.27,-0.25,499,1866,1741
233.60,-132.90,113.03,0.22,1.33,-0.37,497,1872,1744
249.51,-89.62,158.81,-0.21,1.10,-0.49,497,1904,1765
263.18,-81.09,160.63,-0.16,1.17,-0.70,499,1908,1772
269.47,-70.89,161.35,-0.24,1.26,-0.55,499,1915,1776
270.43,-61.59,165.03,-0.26,1.18,-0.44,499,1922,1778
270.09,-50.67,169.77,-0.25,1.15,-0.39,498,1927,1786
308.79,12.06,173.56,-0.21,0.91,-0.12,500,1939,1798
300.93,28.24,211.27,0.10,0.92,0.04,501,1936,1799
293.27,48.32,226.84,-0.44,1.10,0.03,499,1936,1807
268.37,63.79,218.83,-0.65,0.89,0.25,498,1939,1808
280.15,77.05,221.68,-0.31,0.96,-0.26,498,1940,1811
293.24,84.50,219.12,-0.40,0.72,-0.20,498,1939,1811
264.44,155.65,217.93,-0.40,0.60,0.06,500,1939,1814
256.70,171.07,236.49,-0.09,0.50,0.40,499,1941,1819
243.50,184.32,233.79,-0.73,0.56,0.53,499,1937,1819
230.95,199.62,225.62,-0.80,0.49,0.59,501,1940,1822
221.42,213.43,227.21,-0.49,0.46,0.60,499,1939,1823
210.09,227.59,239.45,-0.34,0.44,0.70,498,1937,1825
128.24,270.67,312.70,-0.15,0.25,0.93,500,1944,1831
106.37,276.49,325.53,-0.24,0.13,0.92,501,1941,1837
87.41,283.57,329.13,-0.46,0.02,0.87,501,1942,1836
68.32,286.85,320.45,-0.62,-0.07,0.85,497,1942,1839
51.68,290.85,309.50,-0.66,-0.02,0.77,519,1943,1839
37.82,293.02,311.36,-0.43,0.09,0.73,497,1941,1840
-55.65,277.53,366.98,-0.14,0.07,1.00,499,1940,1842
-84.14,270.85,382.54,-0.33,-0.03,0.99,497,1941,1841
-108.29,267.20,379.38,-0.61,-0.10,0.92,498,1943,1842
-129.68,267.14,372.00,-0.55,-0.17,0.83,499,1942,1843
-150.37,267.43,368.49,-0.51,-0.19,0.84,497,1941,1842
-170.73,266.99,361.99,-0.50,-0.19,0.84,501,1943,1841
-261.69,251.40,322.35,-0.56,-0.15,0.70,505,1941,1843
-277.45,248.03,306.26,-0.65,-0.16,0.63,499,1939,1843
-294.30,243.53,292.49,-0.59,-0.11,0.64,499,1945,1845
