gX,gZ,gY,aX,aZ,aY,p1,p2,p3
-25.01,-9.17,-0.44,-0.09,0.72,0.62,1131,2303,1087
-25.97,-7.52,-2.85,-0.09,0.70,0.58,1126,2302,1085
-24.06,-0.98,-10.06,-0.05,0.77,0.49,1098,2304,1088
-25.10,2.66,-17.43,-0.09,0.67,0.53,1089,2301,1085
-24.93,6.45,-12.10,0.10,0.75,0.49,1093,2301,1085
-24.20,5.73,-12.24,0.02,0.79,0.55,1079,2303,1085
-23.70,6.94,-16.38,0.03,0.75,0.53,1067,2301,1086
-24.25,9.55,-15.45,0.06,0.77,0.49,1066,2303,1085
-24.06,10.79,-18.81,0.05,0.79,0.46,1008,2303,1087
-27.41,12.76,-12.16,0.24,0.86,0.58,1006,2304,1082
-27.87,10.33,-6.62,0.00,0.84,0.59,1001,2304,1085
-30.87,9.96,-8.70,0.08,0.84,0.65,990,2303,1086
-37.56,11.76,-3.14,0.17,0.78,0.69,981,2303,1086
-48.16,14.99,-11.84,-0.06,0.57,0.96,974,2305,1083
-38.26,16.60,-39.00,-0.51,0.87,0.42,971,2304,1083
-71.80,22.47,-61.34,-0.21,0.79,0.85,951,2302,1015
-84.78,22.74,-62.36,0.08,0.87,1.08,948,2304,999
-98.03,20.04,-69.34,-0.16,0.75,1.03,947,2300,979
-110.87,22.92,-87.92,-0.21,0.67,1.03,944,2304,956
-127.06,17.84,-113.86,-0.34,0.60,1.15,947,2304,935
-149.36,18.73,-114.52,0.08,0.91,1.11,949,2301,905
-223.93,21.12,-95.10,0.07,0.87,1.45,945,2301,771
-254.74,16.30,-122.85,-0.46,0.55,1.72,945,2283,727
-270.16,7.00,-169.78,-0.47,0.70,1.24,946,2244,701
-294.17,2.74,-178.32,0.12,0.70,1.20,946,2191,656
-307.13,1.29,-155.75,0.27,0.80,1.12,945,2153,618
-321.65,1.72,-142.84,0.26,0.57,0.99,944,2101,575
-447.88,-15.35,-242.61,-0.23,-0.03,0.70,944,1824,400
-503.12,-19.20,-171.92,1.12,0.00,1.74,947,1761,379
-503.12,-18.62,-141.90,0.94,-0.56,1.25,944,1705,368
-503.12,-20.68,-88.12,0.43,-0.44,1.02,947,1647,355
-503.12,-35.41,-50.90,0.31,-0.18,1.28,946,1599,350
